Date;Heure début;Heure fin;Centre de charge;Equipe;Code motif d'arrêt;Libellé motif;Durée (mn)
02/10/2025;23:18;23:29;LU-02 Usinage;Nuit;AP-20;Composant non conforme;11
02/10/2025;00:06;00:23;LU-02 Usinage;Nuit;LO-10;Attente cariste, évacuation en-cours;17
02/10/2025;00:40;01:26;LU-02 Usinage;Nuit;MA-20;Panne électrique ou capteur;46
02/10/2025;06:54;07:34;LC-03 Conditionnement;Matin;PL-10;Pause légale et relève de poste;40
02/10/2025;08:09;08:15;LC-03 Conditionnement;Matin;RG-20;Micro-arrêts, bourrage;6
02/10/2025;08:38;09:12;LC-03 Conditionnement;Matin;MO-10;Absence non remplacée;34
02/10/2025;09:48;10:07;LC-03 Conditionnement;Matin;LO-20;Saturation aval;19
02/10/2025;10:44;11:04;LC-03 Conditionnement;Matin;MA-30;Défaut automatisme;20
02/10/2025;11:32;11:45;LC-03 Conditionnement;Matin;RG-10;Réglage qualité en cours de série;13
03/10/2025;06:53;07:33;LA-01 Assemblage;Matin;PL-10;Pause légale et relève de poste;40
03/10/2025;07:45;08:54;LA-01 Assemblage;Matin;PL-20;Maintenance préventive planifiée;69
03/10/2025;09:27;09:38;LA-01 Assemblage;Matin;RG-10;Réglage qualité en cours de série;11
03/10/2025;10:14;10:35;LA-01 Assemblage;Matin;AP-20;Composant non conforme;21
03/10/2025;11:09;11:21;LA-01 Assemblage;Matin;LO-10;Attente cariste, évacuation en-cours;12
03/10/2025;11:29;12:12;LA-01 Assemblage;Matin;MA-20;Panne électrique ou capteur;43
03/10/2025;13:35;14:15;LA-01 Assemblage;Après-midi;PL-10;Pause légale et relève de poste;40
03/10/2025;14:25;14:41;LA-01 Assemblage;Après-midi;AP-10;Rupture d'approvisionnement;16
03/10/2025;15:20;15:43;LA-01 Assemblage;Après-midi;MO-20;Accompagnement, formation au poste;23
03/10/2025;16:02;16:53;LA-01 Assemblage;Après-midi;MA-10;Panne mécanique;51
03/10/2025;17:14;17:34;LA-01 Assemblage;Après-midi;CS-10;Changement de série;20
03/10/2025;17:52;18:02;LA-01 Assemblage;Après-midi;RG-20;Micro-arrêts, bourrage;10
03/10/2025;06:48;07:28;LU-02 Usinage;Matin;PL-10;Pause légale et relève de poste;40
03/10/2025;07:41;08:51;LU-02 Usinage;Matin;PL-20;Maintenance préventive planifiée;70
03/10/2025;09:09;09:34;LU-02 Usinage;Matin;MO-20;Accompagnement, formation au poste;25
03/10/2025;09:42;10:25;LU-02 Usinage;Matin;MA-10;Panne mécanique;43
03/10/2025;10:46;11:06;LU-02 Usinage;Matin;CS-10;Changement de série;20
03/10/2025;13:58;14:38;LU-02 Usinage;Après-midi;PL-10;Pause légale et relève de poste;40
03/10/2025;14:46;15:04;LU-02 Usinage;Après-midi;LO-20;Saturation aval;18
03/10/2025;15:31;15:55;LU-02 Usinage;Après-midi;MA-30;Défaut automatisme;24
03/10/2025;16:22;16:39;LU-02 Usinage;Après-midi;RG-10;Réglage qualité en cours de série;17
03/10/2025;17:13;17:27;LU-02 Usinage;Après-midi;AP-20;Composant non conforme;14
03/10/2025;21:36;22:16;LU-02 Usinage;Nuit;PL-10;Pause légale et relève de poste;40
03/10/2025;22:48;23:08;LU-02 Usinage;Nuit;MA-20;Panne électrique ou capteur;20
03/10/2025;23:38;23:57;LU-02 Usinage;Nuit;CS-20;Attente outillage;19
03/10/2025;00:19;00:44;LU-02 Usinage;Nuit;AP-10;Rupture d'approvisionnement;25
03/10/2025;00:57;01:15;LU-02 Usinage;Nuit;MO-20;Accompagnement, formation au poste;18
03/10/2025;01:45;02:27;LU-02 Usinage;Nuit;MA-10;Panne mécanique;42
03/10/2025;06:36;07:16;LC-03 Conditionnement;Matin;PL-10;Pause légale et relève de poste;40
03/10/2025;07:26;08:37;LC-03 Conditionnement;Matin;PL-20;Maintenance préventive planifiée;71
03/10/2025;09:02;09:33;LC-03 Conditionnement;Matin;MA-30;Défaut automatisme;31
03/10/2025;09:52;09:58;LC-03 Conditionnement;Matin;RG-10;Réglage qualité en cours de série;6
06/10/2025;06:34;07:14;LA-01 Assemblage;Matin;PL-10;Pause légale et relève de poste;40
06/10/2025;07:39;08:16;LA-01 Assemblage;Matin;MA-20;Panne électrique ou capteur;37
06/10/2025;08:43;09:11;LA-01 Assemblage;Matin;CS-20;Attente outillage;28
06/10/2025;09:33;09:49;LA-01 Assemblage;Matin;AP-10;Rupture d'approvisionnement;16
06/10/2025;09:57;10:15;LA-01 Assemblage;Matin;MO-20;Accompagnement, formation au poste;18
06/10/2025;10:24;10:45;LA-01 Assemblage;Matin;MA-10;Panne mécanique;21
06/10/2025;13:56;14:36;LA-01 Assemblage;Après-midi;PL-10;Pause légale et relève de poste;40
06/10/2025;14:44;15:04;LA-01 Assemblage;Après-midi;CS-10;Changement de série;20
06/10/2025;15:17;15:29;LA-01 Assemblage;Après-midi;RG-20;Micro-arrêts, bourrage;12
06/10/2025;06:35;07:15;LU-02 Usinage;Matin;PL-10;Pause légale et relève de poste;40
06/10/2025;07:28;07:37;LU-02 Usinage;Matin;RG-20;Micro-arrêts, bourrage;9
06/10/2025;07:57;08:27;LU-02 Usinage;Matin;MO-10;Absence non remplacée;30
06/10/2025;08:47;08:56;LU-02 Usinage;Matin;LO-20;Saturation aval;9
06/10/2025;09:29;09:58;LU-02 Usinage;Matin;MA-30;Défaut automatisme;29
06/10/2025;13:41;14:21;LU-02 Usinage;Après-midi;PL-10;Pause légale et relève de poste;40
06/10/2025;14:41;15:07;LU-02 Usinage;Après-midi;AP-20;Composant non conforme;26
06/10/2025;15:43;16:05;LU-02 Usinage;Après-midi;LO-10;Attente cariste, évacuation en-cours;22
06/10/2025;16:13;16:39;LU-02 Usinage;Après-midi;MA-20;Panne électrique ou capteur;26
06/10/2025;16:58;17:30;LU-02 Usinage;Après-midi;CS-20;Attente outillage;32
06/10/2025;17:57;18:18;LU-02 Usinage;Après-midi;AP-10;Rupture d'approvisionnement;21
06/10/2025;21:43;22:23;LU-02 Usinage;Nuit;PL-10;Pause légale et relève de poste;40
06/10/2025;22:34;23:00;LU-02 Usinage;Nuit;MO-20;Accompagnement, formation au poste;26
06/10/2025;23:30;00:12;LU-02 Usinage;Nuit;MA-10;Panne mécanique;42
06/10/2025;06:30;07:10;LC-03 Conditionnement;Matin;PL-10;Pause légale et relève de poste;40
06/10/2025;07:47;08:08;LC-03 Conditionnement;Matin;LO-10;Attente cariste, évacuation en-cours;21
06/10/2025;08:23;08:58;LC-03 Conditionnement;Matin;MA-20;Panne électrique ou capteur;35
06/10/2025;09:08;09:29;LC-03 Conditionnement;Matin;CS-20;Attente outillage;21
07/10/2025;06:48;07:28;LA-01 Assemblage;Matin;PL-10;Pause légale et relève de poste;40
07/10/2025;07:54;08:11;LA-01 Assemblage;Matin;MO-20;Accompagnement, formation au poste;17
07/10/2025;08:31;09:11;LA-01 Assemblage;Matin;MA-10;Panne mécanique;40
07/10/2025;13:51;14:31;LA-01 Assemblage;Après-midi;PL-10;Pause légale et relève de poste;40
07/10/2025;14:53;15:12;LA-01 Assemblage;Après-midi;LO-20;Saturation aval;19
07/10/2025;15:38;16:07;LA-01 Assemblage;Après-midi;MA-30;Défaut automatisme;29
07/10/2025;16:18;16:30;LA-01 Assemblage;Après-midi;RG-10;Réglage qualité en cours de série;12
07/10/2025;07:00;07:40;LU-02 Usinage;Matin;PL-10;Pause légale et relève de poste;40
07/10/2025;08:02;08:23;LU-02 Usinage;Matin;MA-30;Défaut automatisme;21
07/10/2025;08:36;08:42;LU-02 Usinage;Matin;RG-10;Réglage qualité en cours de série;6
07/10/2025;08:58;09:09;LU-02 Usinage;Matin;AP-20;Composant non conforme;11
07/10/2025;09:45;09:56;LU-02 Usinage;Matin;LO-10;Attente cariste, évacuation en-cours;11
07/10/2025;10:31;10:56;LU-02 Usinage;Matin;MA-20;Panne électrique ou capteur;25
07/10/2025;13:46;14:26;LU-02 Usinage;Après-midi;PL-10;Pause légale et relève de poste;40
07/10/2025;15:02;15:18;LU-02 Usinage;Après-midi;CS-20;Attente outillage;16
07/10/2025;15:51;16:04;LU-02 Usinage;Après-midi;AP-10;Rupture d'approvisionnement;13
07/10/2025;21:48;22:28;LU-02 Usinage;Nuit;PL-10;Pause légale et relève de poste;40
07/10/2025;22:58;23:04;LU-02 Usinage;Nuit;RG-20;Micro-arrêts, bourrage;6
07/10/2025;23:38;00:01;LU-02 Usinage;Nuit;MO-10;Absence non remplacée;23
07/10/2025;00:27;00:35;LU-02 Usinage;Nuit;LO-20;Saturation aval;8
07/10/2025;06:58;07:38;LC-03 Conditionnement;Matin;PL-10;Pause légale et relève de poste;40
07/10/2025;08:15;08:34;LC-03 Conditionnement;Matin;AP-10;Rupture d'approvisionnement;19
07/10/2025;08:53;09:03;LC-03 Conditionnement;Matin;MO-20;Accompagnement, formation au poste;10
07/10/2025;09:25;10:08;LC-03 Conditionnement;Matin;MA-10;Panne mécanique;43
07/10/2025;10:34;11:14;LC-03 Conditionnement;Matin;CS-10;Changement de série;40
08/10/2025;06:43;07:23;LA-01 Assemblage;Matin;PL-10;Pause légale et relève de poste;40
08/10/2025;07:55;08:40;LA-01 Assemblage;Matin;PL-30;Réunion, formation, audit;45
08/10/2025;08:53;09:06;LA-01 Assemblage;Matin;RG-20;Micro-arrêts, bourrage;13
08/10/2025;09:42;10:14;LA-01 Assemblage;Matin;MO-10;Absence non remplacée;32
08/10/2025;10:48;11:04;LA-01 Assemblage;Matin;LO-20;Saturation aval;16
08/10/2025;13:30;14:10;LA-01 Assemblage;Après-midi;PL-10;Pause légale et relève de poste;40
08/10/2025;14:38;14:51;LA-01 Assemblage;Après-midi;AP-20;Composant non conforme;13
08/10/2025;15:31;15:50;LA-01 Assemblage;Après-midi;LO-10;Attente cariste, évacuation en-cours;19
08/10/2025;16:01;16:28;LA-01 Assemblage;Après-midi;MA-20;Panne électrique ou capteur;27
08/10/2025;17:08;17:25;LA-01 Assemblage;Après-midi;CS-20;Attente outillage;17
08/10/2025;06:45;07:25;LU-02 Usinage;Matin;PL-10;Pause légale et relève de poste;40
08/10/2025;07:52;08:37;LU-02 Usinage;Matin;PL-30;Réunion, formation, audit;45
08/10/2025;08:55;09:16;LU-02 Usinage;Matin;LO-10;Attente cariste, évacuation en-cours;21
08/10/2025;09:43;10:10;LU-02 Usinage;Matin;MA-20;Panne électrique ou capteur;27
08/10/2025;13:55;14:35;LU-02 Usinage;Après-midi;PL-10;Pause légale et relève de poste;40
08/10/2025;15:08;15:57;LU-02 Usinage;Après-midi;MA-10;Panne mécanique;49
08/10/2025;16:34;17:11;LU-02 Usinage;Après-midi;CS-10;Changement de série;37
08/10/2025;17:27;17:40;LU-02 Usinage;Après-midi;RG-20;Micro-arrêts, bourrage;13
08/10/2025;21:36;22:16;LU-02 Usinage;Nuit;PL-10;Pause légale et relève de poste;40
08/10/2025;22:27;22:54;LU-02 Usinage;Nuit;MA-30;Défaut automatisme;27
08/10/2025;23:29;23:46;LU-02 Usinage;Nuit;RG-10;Réglage qualité en cours de série;17
08/10/2025;00:18;00:35;LU-02 Usinage;Nuit;AP-20;Composant non conforme;17
08/10/2025;01:04;01:17;LU-02 Usinage;Nuit;LO-10;Attente cariste, évacuation en-cours;13
08/10/2025;06:33;07:13;LC-03 Conditionnement;Matin;PL-10;Pause légale et relève de poste;40
08/10/2025;07:53;08:38;LC-03 Conditionnement;Matin;PL-30;Réunion, formation, audit;45
08/10/2025;09:02;09:35;LC-03 Conditionnement;Matin;CS-10;Changement de série;33
08/10/2025;10:08;10:15;LC-03 Conditionnement;Matin;RG-20;Micro-arrêts, bourrage;7
08/10/2025;10:51;11:15;LC-03 Conditionnement;Matin;MO-10;Absence non remplacée;24
08/10/2025;11:50;11:58;LC-03 Conditionnement;Matin;LO-20;Saturation aval;8
08/10/2025;12:13;12:51;LC-03 Conditionnement;Matin;MA-30;Défaut automatisme;38
09/10/2025;06:45;07:25;LA-01 Assemblage;Matin;PL-10;Pause légale et relève de poste;40
09/10/2025;07:45;08:04;LA-01 Assemblage;Matin;MA-30;Défaut automatisme;19
09/10/2025;08:18;08:25;LA-01 Assemblage;Matin;RG-10;Réglage qualité en cours de série;7
09/10/2025;08:53;09:19;LA-01 Assemblage;Matin;AP-20;Composant non conforme;26
09/10/2025;09:43;09:57;LA-01 Assemblage;Matin;LO-10;Attente cariste, évacuation en-cours;14
09/10/2025;13:51;14:31;LA-01 Assemblage;Après-midi;PL-10;Pause légale et relève de poste;40
09/10/2025;14:56;15:19;LA-01 Assemblage;Après-midi;CS-20;Attente outillage;23
09/10/2025;15:39;16:10;LA-01 Assemblage;Après-midi;AP-10;Rupture d'approvisionnement;31
09/10/2025;16:30;16:43;LA-01 Assemblage;Après-midi;MO-20;Accompagnement, formation au poste;13
09/10/2025;16:56;17:37;LA-01 Assemblage;Après-midi;MA-10;Panne mécanique;41
09/10/2025;17:46;18:15;LA-01 Assemblage;Après-midi;CS-10;Changement de série;29
09/10/2025;06:52;07:32;LU-02 Usinage;Matin;PL-10;Pause légale et relève de poste;40
09/10/2025;07:53;08:14;LU-02 Usinage;Matin;AP-10;Rupture d'approvisionnement;21
09/10/2025;08:43;09:08;LU-02 Usinage;Matin;MO-20;Accompagnement, formation au poste;25
09/10/2025;09:25;09:51;LU-02 Usinage;Matin;MA-10;Panne mécanique;26
09/10/2025;13:46;14:26;LU-02 Usinage;Après-midi;PL-10;Pause légale et relève de poste;40
09/10/2025;14:55;15:22;LU-02 Usinage;Après-midi;MO-10;Absence non remplacée;27
09/10/2025;15:58;16:18;LU-02 Usinage;Après-midi;LO-20;Saturation aval;20
09/10/2025;16:53;17:10;LU-02 Usinage;Après-midi;MA-30;Défaut automatisme;17
09/10/2025;17:25;17:35;LU-02 Usinage;Après-midi;RG-10;Réglage qualité en cours de série;10
09/10/2025;21:40;22:20;LU-02 Usinage;Nuit;PL-10;Pause légale et relève de poste;40
09/10/2025;22:32;22:49;LU-02 Usinage;Nuit;LO-10;Attente cariste, évacuation en-cours;17
09/10/2025;23:15;23:38;LU-02 Usinage;Nuit;MA-20;Panne électrique ou capteur;23
09/10/2025;00:18;00:49;LU-02 Usinage;Nuit;CS-20;Attente outillage;31
09/10/2025;01:09;01:41;LU-02 Usinage;Nuit;AP-10;Rupture d'approvisionnement;32
09/10/2025;02:11;02:36;LU-02 Usinage;Nuit;MO-20;Accompagnement, formation au poste;25
09/10/2025;06:46;07:26;LC-03 Conditionnement;Matin;PL-10;Pause légale et relève de poste;40
09/10/2025;07:58;08:12;LC-03 Conditionnement;Matin;LO-20;Saturation aval;14
09/10/2025;08:28;08:48;LC-03 Conditionnement;Matin;MA-30;Défaut automatisme;20
10/10/2025;06:48;07:28;LA-01 Assemblage;Matin;PL-10;Pause légale et relève de poste;40
10/10/2025;07:58;08:12;LA-01 Assemblage;Matin;LO-10;Attente cariste, évacuation en-cours;14
10/10/2025;08:51;09:32;LA-01 Assemblage;Matin;MA-20;Panne électrique ou capteur;41
10/10/2025;09:42;10:10;LA-01 Assemblage;Matin;CS-20;Attente outillage;28
10/10/2025;10:42;11:12;LA-01 Assemblage;Matin;AP-10;Rupture d'approvisionnement;30
10/10/2025;11:50;12:00;LA-01 Assemblage;Matin;MO-20;Accompagnement, formation au poste;10
10/10/2025;13:50;14:30;LA-01 Assemblage;Après-midi;PL-10;Pause légale et relève de poste;40
10/10/2025;14:41;15:37;LA-01 Assemblage;Après-midi;MA-10;Panne mécanique;56
10/10/2025;15:50;16:25;LA-01 Assemblage;Après-midi;CS-10;Changement de série;35
10/10/2025;07:00;07:40;LU-02 Usinage;Matin;PL-10;Pause légale et relève de poste;40
10/10/2025;08:19;08:40;LU-02 Usinage;Matin;CS-10;Changement de série;21
10/10/2025;08:51;08:56;LU-02 Usinage;Matin;RG-20;Micro-arrêts, bourrage;5
10/10/2025;09:17;09:46;LU-02 Usinage;Matin;MO-10;Absence non remplacée;29
10/10/2025;10:16;10:25;LU-02 Usinage;Matin;LO-20;Saturation aval;9
10/10/2025;13:37;14:17;LU-02 Usinage;Après-midi;PL-10;Pause légale et relève de poste;40
10/10/2025;14:28;14:42;LU-02 Usinage;Après-midi;RG-10;Réglage qualité en cours de série;14
10/10/2025;15:13;15:28;LU-02 Usinage;Après-midi;AP-20;Composant non conforme;15
10/10/2025;16:03;16:12;LU-02 Usinage;Après-midi;LO-10;Attente cariste, évacuation en-cours;9
10/10/2025;16:27;16:46;LU-02 Usinage;Après-midi;MA-20;Panne électrique ou capteur;19
10/10/2025;17:19;17:40;LU-02 Usinage;Après-midi;CS-20;Attente outillage;21
10/10/2025;21:34;22:14;LU-02 Usinage;Nuit;PL-10;Pause légale et relève de poste;40
10/10/2025;22:53;23:16;LU-02 Usinage;Nuit;AP-10;Rupture d'approvisionnement;23
10/10/2025;23:29;23:43;LU-02 Usinage;Nuit;MO-20;Accompagnement, formation au poste;14
10/10/2025;06:29;07:09;LC-03 Conditionnement;Matin;PL-10;Pause légale et relève de poste;40
10/10/2025;07:27;07:50;LC-03 Conditionnement;Matin;AP-20;Composant non conforme;23
10/10/2025;08:14;08:26;LC-03 Conditionnement;Matin;LO-10;Attente cariste, évacuation en-cours;12
10/10/2025;08:45;09:12;LC-03 Conditionnement;Matin;MA-20;Panne électrique ou capteur;27
13/10/2025;06:52;07:32;LA-01 Assemblage;Matin;PL-10;Pause légale et relève de poste;40
13/10/2025;08:11;09:12;LA-01 Assemblage;Matin;PL-20;Maintenance préventive planifiée;61
13/10/2025;09:46;10:03;LA-01 Assemblage;Matin;AP-10;Rupture d'approvisionnement;17
13/10/2025;10:24;10:43;LA-01 Assemblage;Matin;MO-20;Accompagnement, formation au poste;19
13/10/2025;13:29;14:09;LA-01 Assemblage;Après-midi;PL-10;Pause légale et relève de poste;40
13/10/2025;14:37;14:53;LA-01 Assemblage;Après-midi;MO-10;Absence non remplacée;16
13/10/2025;15:09;15:26;LA-01 Assemblage;Après-midi;LO-20;Saturation aval;17
13/10/2025;15:43;16:13;LA-01 Assemblage;Après-midi;MA-30;Défaut automatisme;30
13/10/2025;06:33;07:13;LU-02 Usinage;Matin;PL-10;Pause légale et relève de poste;40
13/10/2025;07:26;08:28;LU-02 Usinage;Matin;PL-20;Maintenance préventive planifiée;62
13/10/2025;08:43;08:53;LU-02 Usinage;Matin;LO-20;Saturation aval;10
13/10/2025;09:02;09:17;LU-02 Usinage;Matin;MA-30;Défaut automatisme;15
13/10/2025;09:49;10:01;LU-02 Usinage;Matin;RG-10;Réglage qualité en cours de série;12
13/10/2025;10:21;10:43;LU-02 Usinage;Matin;AP-20;Composant non conforme;22
13/10/2025;11:23;11:33;LU-02 Usinage;Matin;LO-10;Attente cariste, évacuation en-cours;10
13/10/2025;13:58;14:38;LU-02 Usinage;Après-midi;PL-10;Pause légale et relève de poste;40
13/10/2025;15:02;15:24;LU-02 Usinage;Après-midi;MA-20;Panne électrique ou capteur;22
13/10/2025;15:38;16:06;LU-02 Usinage;Après-midi;CS-20;Attente outillage;28
13/10/2025;21:34;22:14;LU-02 Usinage;Nuit;PL-10;Pause légale et relève de poste;40
13/10/2025;22:48;23:23;LU-02 Usinage;Nuit;CS-10;Changement de série;35
13/10/2025;23:46;23:58;LU-02 Usinage;Nuit;RG-20;Micro-arrêts, bourrage;12
13/10/2025;00:15;00:44;LU-02 Usinage;Nuit;MO-10;Absence non remplacée;29
13/10/2025;06:49;07:29;LC-03 Conditionnement;Matin;PL-10;Pause légale et relève de poste;40
13/10/2025;07:42;08:45;LC-03 Conditionnement;Matin;PL-20;Maintenance préventive planifiée;63
13/10/2025;09:21;09:50;LC-03 Conditionnement;Matin;CS-20;Attente outillage;29
13/10/2025;10:07;10:35;LC-03 Conditionnement;Matin;AP-10;Rupture d'approvisionnement;28
13/10/2025;11:09;11:27;LC-03 Conditionnement;Matin;MO-20;Accompagnement, formation au poste;18
13/10/2025;11:58;12:29;LC-03 Conditionnement;Matin;MA-10;Panne mécanique;31
14/10/2025;06:30;07:10;LA-01 Assemblage;Matin;PL-10;Pause légale et relève de poste;40
14/10/2025;07:30;08:07;LA-01 Assemblage;Matin;CS-10;Changement de série;37
14/10/2025;08:24;08:33;LA-01 Assemblage;Matin;RG-20;Micro-arrêts, bourrage;9
14/10/2025;08:44;09:14;LA-01 Assemblage;Matin;MO-10;Absence non remplacée;30
14/10/2025;13:56;14:36;LA-01 Assemblage;Après-midi;PL-10;Pause légale et relève de poste;40
14/10/2025;14:57;15:14;LA-01 Assemblage;Après-midi;RG-10;Réglage qualité en cours de série;17
14/10/2025;15:35;15:47;LA-01 Assemblage;Après-midi;AP-20;Composant non conforme;12
14/10/2025;16:07;16:29;LA-01 Assemblage;Après-midi;LO-10;Attente cariste, évacuation en-cours;22
14/10/2025;16:38;17:24;LA-01 Assemblage;Après-midi;MA-20;Panne électrique ou capteur;46
14/10/2025;06:52;07:32;LU-02 Usinage;Matin;PL-10;Pause légale et relève de poste;40
14/10/2025;07:43;08:06;LU-02 Usinage;Matin;AP-20;Composant non conforme;23
14/10/2025;08:37;08:47;LU-02 Usinage;Matin;LO-10;Attente cariste, évacuation en-cours;10
14/10/2025;13:48;14:28;LU-02 Usinage;Après-midi;PL-10;Pause légale et relève de poste;40
14/10/2025;14:44;14:59;LU-02 Usinage;Après-midi;MO-20;Accompagnement, formation au poste;15
14/10/2025;15:09;15:33;LU-02 Usinage;Après-midi;MA-10;Panne mécanique;24
14/10/2025;16:06;16:25;LU-02 Usinage;Après-midi;CS-10;Changement de série;19
14/10/2025;21:45;22:25;LU-02 Usinage;Nuit;PL-10;Pause légale et relève de poste;40
14/10/2025;22:59;23:13;LU-02 Usinage;Nuit;LO-20;Saturation aval;14
14/10/2025;23:24;23:44;LU-02 Usinage;Nuit;MA-30;Défaut automatisme;20
14/10/2025;00:02;00:14;LU-02 Usinage;Nuit;RG-10;Réglage qualité en cours de série;12
14/10/2025;00:40;01:06;LU-02 Usinage;Nuit;AP-20;Composant non conforme;26
14/10/2025;06:38;07:18;LC-03 Conditionnement;Matin;PL-10;Pause légale et relève de poste;40
14/10/2025;07:28;08:10;LC-03 Conditionnement;Matin;MA-10;Panne mécanique;42
14/10/2025;08:20;08:36;LC-03 Conditionnement;Matin;CS-10;Changement de série;16
14/10/2025;09:00;09:11;LC-03 Conditionnement;Matin;RG-20;Micro-arrêts, bourrage;11
14/10/2025;09:21;09:51;LC-03 Conditionnement;Matin;MO-10;Absence non remplacée;30
14/10/2025;10:07;10:26;LC-03 Conditionnement;Matin;LO-20;Saturation aval;19
15/10/2025;06:44;07:24;LA-01 Assemblage;Matin;PL-10;Pause légale et relève de poste;40
15/10/2025;07:35;07:46;LA-01 Assemblage;Matin;LO-20;Saturation aval;11
15/10/2025;07:58;08:17;LA-01 Assemblage;Matin;MA-30;Défaut automatisme;19
15/10/2025;08:32;08:43;LA-01 Assemblage;Matin;RG-10;Réglage qualité en cours de série;11
15/10/2025;09:11;09:40;LA-01 Assemblage;Matin;AP-20;Composant non conforme;29
15/10/2025;13:48;14:28;LA-01 Assemblage;Après-midi;PL-10;Pause légale et relève de poste;40
15/10/2025;14:59;15:36;LA-01 Assemblage;Après-midi;MA-20;Panne électrique ou capteur;37
15/10/2025;15:47;16:03;LA-01 Assemblage;Après-midi;CS-20;Attente outillage;16
15/10/2025;16:36;16:50;LA-01 Assemblage;Après-midi;AP-10;Rupture d'approvisionnement;14
15/10/2025;17:15;17:34;LA-01 Assemblage;Après-midi;MO-20;Accompagnement, formation au poste;19
