Date de production;Centre de charge;Equipe;Code article;Désignation article;Temps d'ouverture (mn);Arrêts planifiés (mn);Arrêts panne (mn);Arrêts changement de série (mn);Arrêts réglage (mn);Arrêts manque composant (mn);Arrêts effectif (mn);Autres arrêts (mn);Nb interventions maintenance;Cadence théorique (p/mn);Qté lancée;Qté bonne 1er passage;Qté retouchée;Qté rebutée;Qté au programme;Effectif théorique;Effectif présent;Accidents AT;Presqu'accidents
03/10/2025;LU-02 Usinage;Après-midi;ART-51210;Support moteur S12;480;40;24;0;17;14;0;18;1;9,0;3022;2955;26;41;3137;8;7;0;0
03/10/2025;LU-02 Usinage;Nuit;ART-51210;Support moteur S12;450;40;62;19;0;25;18;0;2;9,0;2277;2233;17;27;2393;8;8;0;0
03/10/2025;LC-03 Conditionnement;Matin;ART-62400;Kit conditionné K4;480;111;31;0;6;0;0;0;1;22,0;6829;6706;49;74;7263;6;6;0;0
06/10/2025;LA-01 Assemblage;Matin;ART-40130;Carter aluminium A30;480;40;58;28;0;16;18;0;2;12,5;3540;3472;27;41;3722;12;12;0;0
06/10/2025;LA-01 Assemblage;Après-midi;ART-40130;Carter aluminium A30;480;40;0;20;12;0;0;0;0;12,5;4360;4290;28;42;4643;12;12;0;0
06/10/2025;LU-02 Usinage;Matin;ART-51810;Support moteur S18;480;40;29;0;9;0;30;9;1;7,5;2382;2353;11;18;2387;8;8;0;0
06/10/2025;LU-02 Usinage;Après-midi;ART-51810;Support moteur S18;480;40;26;32;0;47;0;22;1;7,5;2265;2244;8;13;2297;8;8;0;0
06/10/2025;LU-02 Usinage;Nuit;ART-51810;Support moteur S18;450;40;42;0;0;0;26;0;1;7,5;2398;2383;6;9;2462;8;8;0;0
06/10/2025;LC-03 Conditionnement;Matin;ART-62600;Kit conditionné K6;480;40;35;21;0;0;0;21;1;18,0;5651;5622;11;18;5867;6;6;0;0
07/10/2025;LA-01 Assemblage;Matin;ART-40120;Carter aluminium A20;480;40;40;0;0;0;17;0;1;15,0;5371;5338;13;20;5516;12;12;0;0
07/10/2025;LA-01 Assemblage;Après-midi;ART-40120;Carter aluminium A20;480;40;29;0;12;0;0;19;1;15,0;5158;5049;43;66;5304;12;12;0;0
07/10/2025;LU-02 Usinage;Matin;ART-51210;Support moteur S12;480;40;46;0;6;11;0;11;2;9,0;3046;2994;20;32;3206;8;8;0;0
07/10/2025;LU-02 Usinage;Après-midi;ART-51210;Support moteur S12;480;40;0;16;0;13;0;0;0;9,0;3310;3263;18;29;3527;8;8;0;0
07/10/2025;LU-02 Usinage;Nuit;ART-51210;Support moteur S12;450;40;0;0;6;0;23;8;0;9,0;2903;2871;12;20;2883;8;8;0;0
07/10/2025;LC-03 Conditionnement;Matin;ART-62400;Kit conditionné K4;480;40;43;40;0;19;10;0;1;22,0;6602;6535;26;41;6627;6;6;0;0
08/10/2025;LA-01 Assemblage;Matin;ART-40130;Carter aluminium A30;480;85;0;0;13;0;32;16;0;12,5;3611;3571;16;24;3587;12;12;0;0
08/10/2025;LA-01 Assemblage;Après-midi;ART-40130;Carter aluminium A30;480;40;27;17;0;13;0;19;1;12,5;4345;4310;14;21;4367;12;12;0;0
08/10/2025;LU-02 Usinage;Matin;ART-51810;Support moteur S18;480;85;27;0;0;0;0;21;1;7,5;2225;2176;19;30;2262;8;7;0;0
08/10/2025;LU-02 Usinage;Après-midi;ART-51810;Support moteur S18;480;40;49;37;13;0;0;0;1;7,5;2416;2370;18;28;2487;8;8;0;1
08/10/2025;LU-02 Usinage;Nuit;ART-51810;Support moteur S18;450;40;27;0;17;17;0;13;1;7,5;2305;2268;14;23;2402;8;8;0;0
08/10/2025;LC-03 Conditionnement;Matin;ART-62600;Kit conditionné K6;480;85;38;33;7;0;24;8;1;18,0;4950;4875;30;45;5218;6;6;0;0
09/10/2025;LA-01 Assemblage;Matin;ART-40120;Carter aluminium A20;480;40;19;0;7;26;0;14;1;15,0;5133;5050;33;50;5350;12;12;0;0
09/10/2025;LA-01 Assemblage;Après-midi;ART-40120;Carter aluminium A20;480;40;41;52;0;31;13;0;1;15,0;4022;3969;21;32;4244;12;11;0;0
09/10/2025;LU-02 Usinage;Matin;ART-51210;Support moteur S12;480;40;26;0;0;21;25;0;1;9,0;2997;2970;10;17;2980;8;8;0;0
09/10/2025;LU-02 Usinage;Après-midi;ART-51210;Support moteur S12;480;40;17;0;10;0;27;20;1;9,0;2882;2864;7;11;2900;8;8;0;0
09/10/2025;LU-02 Usinage;Nuit;ART-51210;Support moteur S12;450;40;23;31;0;32;25;17;1;9,0;2449;2397;20;32;2466;8;8;0;0
09/10/2025;LC-03 Conditionnement;Matin;ART-62400;Kit conditionné K4;480;40;20;0;0;0;0;14;1;22,0;7994;7834;64;96;8142;6;6;0;0
10/10/2025;LA-01 Assemblage;Matin;ART-40130;Carter aluminium A30;480;40;41;28;0;30;10;14;1;12,5;3823;3742;32;49;3851;12;12;0;0
10/10/2025;LA-01 Assemblage;Après-midi;ART-40130;Carter aluminium A30;480;40;56;35;0;0;0;0;1;12,5;4078;4004;29;45;4157;12;12;0;1
10/10/2025;LU-02 Usinage;Matin;ART-51810;Support moteur S18;480;40;0;21;5;0;29;9;0;7,5;2693;2655;15;23;2810;8;8;0;0
10/10/2025;LU-02 Usinage;Après-midi;ART-51810;Support moteur S18;480;40;19;21;14;15;0;9;1;7,5;2511;2483;11;17;2653;8;8;0;0
10/10/2025;LU-02 Usinage;Nuit;ART-51810;Support moteur S18;450;40;0;0;0;23;14;0;0;7,5;2503;2482;8;13;2677;8;8;0;0
10/10/2025;LC-03 Conditionnement;Matin;ART-62600;Kit conditionné K6;480;40;27;0;0;23;0;12;1;18,0;6429;6383;18;28;6401;6;6;0;0
13/10/2025;LA-01 Assemblage;Matin;ART-40120;Carter aluminium A20;480;101;0;0;0;17;19;0;0;15,0;4604;4567;14;23;4925;12;12;0;0
13/10/2025;LA-01 Assemblage;Après-midi;ART-40120;Carter aluminium A20;480;40;30;0;0;0;16;17;1;15,0;4891;4866;10;15;4876;12;12;0;0
13/10/2025;LU-02 Usinage;Matin;ART-51210;Support moteur S12;480;102;15;0;12;22;0;20;1;9,0;2461;2414;18;29;2481;8;8;0;0
13/10/2025;LU-02 Usinage;Après-midi;ART-51210;Support moteur S12;480;40;22;28;0;0;0;0;1;9,0;3001;2952;19;30;3062;8;8;0;0
13/10/2025;LU-02 Usinage;Nuit;ART-51210;Support moteur S12;450;40;0;35;12;0;29;0;0;9,0;2840;2803;14;23;2934;8;7;0;0
13/10/2025;LC-03 Conditionnement;Matin;ART-62400;Kit conditionné K4;480;103;31;29;0;28;18;0;1;22,0;5216;5153;25;38;5450;6;6;0;0
14/10/2025;LA-01 Assemblage;Matin;ART-40130;Carter aluminium A30;480;40;0;37;9;0;30;0;0;12,5;4299;4243;22;34;4442;12;11;0;0
14/10/2025;LA-01 Assemblage;Après-midi;ART-40130;Carter aluminium A30;480;40;46;0;17;12;0;22;1;12,5;3923;3883;16;24;4104;12;12;0;0
14/10/2025;LU-02 Usinage;Matin;ART-51810;Support moteur S18;480;40;0;0;0;23;0;10;0;7,5;2854;2836;7;11;3056;8;8;0;0
14/10/2025;LU-02 Usinage;Après-midi;ART-51810;Support moteur S18;480;40;24;19;0;0;15;0;1;7,5;2592;2537;22;33;2559;8;8;0;0
14/10/2025;LU-02 Usinage;Nuit;ART-51810;Support moteur S18;450;40;20;0;12;26;0;14;1;7,5;2218;2178;16;24;2216;8;8;0;0
14/10/2025;LC-03 Conditionnement;Matin;ART-62600;Kit conditionné K6;480;40;42;16;11;0;30;19;1;18,0;5361;5269;36;56;5413;6;6;0;1
15/10/2025;LA-01 Assemblage;Matin;ART-40120;Carter aluminium A20;480;40;19;0;11;29;0;11;1;15,0;4856;4768;35;53;4851;12;12;0;0
15/10/2025;LA-01 Assemblage;Après-midi;ART-40120;Carter aluminium A20;480;40;65;16;0;14;19;0;2;15,0;4718;4647;28;43;4770;12;12;0;0
15/10/2025;LU-02 Usinage;Matin;ART-51210;Support moteur S12;480;40;0;14;0;26;10;0;0;9,0;3036;3002;13;21;3140;8;8;0;0
15/10/2025;LU-02 Usinage;Après-midi;ART-51210;Support moteur S12;480;40;19;0;7;0;23;17;1;9,0;3214;3188;10;16;3366;8;8;0;0
15/10/2025;LU-02 Usinage;Nuit;ART-51210;Support moteur S12;450;40;38;14;0;44;0;10;1;9,0;2530;2517;5;8;2682;8;8;0;0
15/10/2025;LC-03 Conditionnement;Matin;ART-62400;Kit conditionné K4;480;40;0;0;0;0;31;15;0;22,0;7411;7247;65;99;7862;6;5;0;0
16/10/2025;LA-01 Assemblage;Matin;ART-40130;Carter aluminium A30;480;40;36;23;0;48;0;18;1;12,5;3642;3623;7;12;3861;12;12;0;0
16/10/2025;LA-01 Assemblage;Après-midi;ART-40130;Carter aluminium A30;480;40;54;0;0;0;12;0;1;12,5;4184;4100;33;51;4444;12;12;0;0
16/10/2025;LU-02 Usinage;Matin;ART-51810;Support moteur S18;480;40;31;29;12;0;34;0;1;7,5;2292;2255;14;23;2291;8;8;0;1
16/10/2025;LU-02 Usinage;Après-midi;ART-51810;Support moteur S18;480;40;56;0;15;23;0;21;2;7,5;2157;2128;11;18;2182;8;7;0;0
16/10/2025;LU-02 Usinage;Nuit;ART-51810;Support moteur S18;450;40;0;13;0;22;0;0;0;7,5;2404;2379;10;15;2462;8;8;0;0
16/10/2025;LC-03 Conditionnement;Matin;ART-62600;Kit conditionné K6;480;40;0;0;7;27;0;9;0;18,0;6467;6408;23;36;6698;6;6;0;0
17/10/2025;LA-01 Assemblage;Matin;ART-40120;Carter aluminium A20;480;40;0;26;0;22;0;0;0;15,0;5027;4976;20;31;5150;12;12;0;0
17/10/2025;LA-01 Assemblage;Après-midi;ART-40120;Carter aluminium A20;480;40;0;0;11;0;30;15;0;15,0;5443;5404;15;24;5644;12;12;0;0
17/10/2025;LU-02 Usinage;Matin;ART-51210;Support moteur S12;480;40;36;0;10;13;27;11;1;9,0;2978;2915;25;38;3127;8;8;0;0
17/10/2025;LU-02 Usinage;Après-midi;ART-51210;Support moteur S12;480;40;42;0;0;0;0;9;1;9,0;3273;3214;23;36;3480;8;8;0;0
17/10/2025;LU-02 Usinage;Nuit;ART-51210;Support moteur S12;450;40;56;34;11;0;0;0;1;9,0;2516;2478;15;23;2493;8;8;0;1
17/10/2025;LC-03 Conditionnement;Matin;ART-62400;Kit conditionné K4;480;40;36;23;0;22;22;0;1;22,0;7080;6980;40;60;7090;6;6;0;0
20/10/2025;LA-01 Assemblage;Matin;ART-40130;Carter aluminium A30;480;40;27;21;7;0;0;0;1;12,5;4355;4289;26;40;4315;12;12;0;1
20/10/2025;LA-01 Assemblage;Après-midi;ART-40130;Carter aluminium A30;480;40;25;0;10;15;0;13;1;12,5;4123;4073;20;30;4134;12;12;0;0
20/10/2025;LU-02 Usinage;Matin;ART-51810;Support moteur S18;480;40;0;0;12;24;0;0;0;7,5;2711;2689;8;14;2780;8;8;0;0
20/10/2025;LU-02 Usinage;Après-midi;ART-51810;Support moteur S18;480;40;34;0;0;19;10;0;1;7,5;2445;2432;5;8;2538;8;8;0;0
20/10/2025;LU-02 Usinage;Nuit;ART-51810;Support moteur S18;450;40;26;0;8;0;15;16;1;7,5;2471;2421;20;30;2569;8;8;0;0
20/10/2025;LC-03 Conditionnement;Matin;ART-62600;Kit conditionné K6;480;40;21;26;5;0;59;0;1;18,0;5240;5140;40;60;5510;6;6;0;0
21/10/2025;LA-01 Assemblage;Matin;ART-40120;Carter aluminium A20;480;118;16;0;16;0;16;19;1;15,0;4225;4140;34;51;4393;12;12;0;0
21/10/2025;LA-01 Assemblage;Après-midi;ART-40120;Carter aluminium A20;480;40;18;31;0;28;23;10;1;15,0;4578;4500;31;47;4820;12;12;0;0
21/10/2025;LU-02 Usinage;Matin;ART-51210;Support moteur S12;480;119;46;30;0;19;0;0;1;9,0;2262;2232;12;18;2244;8;7;0;0
21/10/2025;LU-02 Usinage;Après-midi;ART-51210;Support moteur S12;480;40;0;20;11;0;36;16;0;9,0;2939;2909;12;18;2950;8;8;0;0
21/10/2025;LU-02 Usinage;Nuit;ART-51210;Support moteur S12;450;40;41;18;17;21;0;15;1;9,0;2373;2356;6;11;2410;8;8;0;0
21/10/2025;LC-03 Conditionnement;Matin;ART-62400;Kit conditionné K4;480;95;0;0;8;0;18;0;0;22,0;7384;7339;18;27;7584;6;6;0;0
22/10/2025;LA-01 Assemblage;Matin;ART-40130;Carter aluminium A30;480;40;36;25;10;23;0;16;1;12,5;3650;3624;10;16;3708;12;12;0;0
22/10/2025;LA-01 Assemblage;Après-midi;ART-40130;Carter aluminium A30;480;40;0;0;0;13;22;0;0;12,5;4328;4232;38;58;4402;12;11;0;0
22/10/2025;LU-02 Usinage;Matin;ART-51810;Support moteur S18;480;40;50;25;12;0;16;0;1;7,5;2211;2171;16;24;2302;8;8;0;0
22/10/2025;LU-02 Usinage;Après-midi;ART-51810;Support moteur S18;480;40;33;0;17;28;0;24;1;7,5;2446;2409;14;23;2577;8;8;0;0
22/10/2025;LU-02 Usinage;Nuit;ART-51810;Support moteur S18;450;40;46;18;0;0;0;0;1;7,5;2426;2396;12;18;2589;8;8;0;0
22/10/2025;LC-03 Conditionnement;Matin;ART-62600;Kit conditionné K6;480;40;19;0;15;22;0;0;1;18,0;5978;5912;26;40;5938;6;6;0;0
23/10/2025;LA-01 Assemblage;Matin;ART-40120;Carter aluminium A20;480;85;39;26;0;0;0;0;1;15,0;4628;4572;22;34;4939;12;12;0;0
23/10/2025;LA-01 Assemblage;Après-midi;ART-40120;Carter aluminium A20;480;40;0;28;5;0;21;0;0;15,0;5239;5191;19;29;5210;12;12;0;0
23/10/2025;LU-02 Usinage;Matin;ART-51210;Support moteur S12;480;85;28;0;15;0;37;17;1;9,0;2480;2467;5;8;2522;8;8;0;0
23/10/2025;LU-02 Usinage;Après-midi;ART-51210;Support moteur S12;480;40;0;0;0;21;0;15;0;9,0;3254;3188;26;40;3313;8;8;0;0
23/10/2025;LU-02 Usinage;Nuit;ART-51210;Support moteur S12;450;40;53;39;0;0;26;0;1;9,0;2273;2234;15;24;2342;8;8;0;0
23/10/2025;LC-03 Conditionnement;Matin;ART-62400;Kit conditionné K4;480;85;44;27;0;23;0;10;1;22,0;5857;5763;37;57;6105;6;6;0;0
24/10/2025;LA-01 Assemblage;Matin;ART-40130;Carter aluminium A30;480;40;49;33;0;0;10;0;1;12,5;3762;3698;25;39;3878;12;12;0;0
24/10/2025;LA-01 Assemblage;Après-midi;ART-40130;Carter aluminium A30;480;40;17;0;16;29;0;9;1;12,5;4404;4342;24;38;4595;12;12;0;0
24/10/2025;LU-02 Usinage;Matin;ART-51810;Support moteur S18;480;40;24;0;13;0;0;0;1;7,5;2584;2558;10;16;2761;8;8;0;0
24/10/2025;LU-02 Usinage;Après-midi;ART-51810;Support moteur S18;480;40;0;22;0;31;25;0;0;7,5;2565;2547;7;11;2554;8;8;0;0
24/10/2025;LU-02 Usinage;Nuit;ART-51810;Support moteur S18;450;40;36;0;10;0;31;18;1;7,5;2161;2113;19;29;2153;8;7;0;0
24/10/2025;LC-03 Conditionnement;Matin;ART-62600;Kit conditionné K6;480;40;36;26;12;26;12;0;1;18,0;5697;5577;48;72;5739;6;6;0;0
27/10/2025;LA-01 Assemblage;Matin;ART-40120;Carter aluminium A20;480;40;93;0;12;0;14;17;1;15,0;4172;4080;36;56;4157;12;11;0;0
27/10/2025;LA-01 Assemblage;Après-midi;ART-40120;Carter aluminium A20;480;40;119;23;0;45;0;10;1;15,0;3225;3163;24;38;3252;12;12;0;0
27/10/2025;LU-02 Usinage;Matin;ART-51210;Support moteur S12;480;40;122;21;0;0;0;10;1;9,0;2337;2301;14;22;2411;8;8;0;0
27/10/2025;LU-02 Usinage;Après-midi;ART-51210;Support moteur S12;480;40;109;36;8;0;32;0;1;9,0;2008;1983;10;15;2097;8;8;0;1
27/10/2025;LU-02 Usinage;Nuit;ART-51210;Support moteur S12;450;40;214;0;15;29;0;11;2;9,0;1224;1212;4;8;1293;8;8;0;0
27/10/2025;LC-03 Conditionnement;Matin;ART-62400;Kit conditionné K4;480;40;0;28;4;0;0;0;0;22,0;8033;7968;26;39;8595;6;6;0;0
28/10/2025;LA-01 Assemblage;Matin;ART-40130;Carter aluminium A30;480;40;62;0;6;25;0;16;2;12,5;3992;3956;14;22;4223;12;12;0;0
28/10/2025;LA-01 Assemblage;Après-midi;ART-40130;Carter aluminium A30;480;40;0;18;0;34;0;0;0;12,5;4534;4506;11;17;4856;12;12;0;0
28/10/2025;LU-02 Usinage;Matin;ART-51810;Support moteur S18;480;40;51;36;0;25;23;0;1;7,5;2184;2140;17;27;2178;8;8;0;0
28/10/2025;LU-02 Usinage;Après-midi;ART-51810;Support moteur S18;480;40;37;0;12;22;29;14;1;7,5;2261;2222;15;24;2282;8;8;0;0
28/10/2025;LU-02 Usinage;Nuit;ART-51810;Support moteur S18;450;40;24;0;0;0;0;14;1;7,5;2497;2462;14;21;2552;8;8;0;0
28/10/2025;LC-03 Conditionnement;Matin;ART-62600;Kit conditionné K6;480;40;23;0;10;0;0;14;1;18,0;6684;6597;34;53;6907;6;5;0;0
29/10/2025;LA-01 Assemblage;Matin;ART-40120;Carter aluminium A20;480;110;40;0;0;0;0;22;1;15,0;4134;4076;23;35;4225;12;12;0;0
29/10/2025;LA-01 Assemblage;Après-midi;ART-40120;Carter aluminium A20;480;40;48;23;5;0;0;0;1;15,0;4722;4670;20;32;4885;12;12;0;1
29/10/2025;LU-02 Usinage;Matin;ART-51210;Support moteur S12;480;111;19;20;13;0;36;9;1;9,0;2166;2150;6;10;2293;8;8;0;0
29/10/2025;LU-02 Usinage;Après-midi;ART-51210;Support moteur S12;480;40;0;0;7;25;0;0;0;9,0;3139;3069;28;42;3330;8;7;0;0
29/10/2025;LU-02 Usinage;Nuit;ART-51210;Support moteur S12;450;40;56;0;0;33;18;0;1;9,0;2577;2528;19;30;2547;8;8;0;0
29/10/2025;LC-03 Conditionnement;Matin;ART-62400;Kit conditionné K4;480;112;36;25;0;17;0;15;1;22,0;5293;5197;38;58;5287;6;6;0;0
30/10/2025;LA-01 Assemblage;Matin;ART-40130;Carter aluminium A30;480;40;25;0;0;26;25;0;1;12,5;4299;4217;32;50;4249;12;12;0;0
30/10/2025;LA-01 Assemblage;Après-midi;ART-40130;Carter aluminium A30;480;40;33;0;9;0;21;16;1;12,5;4128;4061;26;41;4128;12;12;0;0
30/10/2025;LU-02 Usinage;Matin;ART-51810;Support moteur S18;480;40;34;0;0;0;0;14;1;7,5;2748;2715;13;20;2812;8;8;0;0
30/10/2025;LU-02 Usinage;Après-midi;ART-51810;Support moteur S18;480;40;23;24;0;27;0;0;1;7,5;2484;2461;9;14;2572;8;8;0;0
30/10/2025;LU-02 Usinage;Nuit;ART-51810;Support moteur S18;450;40;0;38;9;0;19;13;0;7,5;2172;2158;5;9;2276;8;8;0;0
30/10/2025;LC-03 Conditionnement;Matin;ART-62600;Kit conditionné K6;480;40;33;42;0;32;22;0;1;18,0;5178;5152;10;16;5491;6;6;0;0
31/10/2025;LA-01 Assemblage;Matin;ART-40120;Carter aluminium A20;480;40;0;38;6;0;22;13;0;15,0;4738;4709;11;18;4968;12;12;0;0
31/10/2025;LA-01 Assemblage;Après-midi;ART-40120;Carter aluminium A20;480;40;21;20;8;17;0;22;1;15,0;5095;4988;42;65;5351;12;12;0;0
31/10/2025;LU-02 Usinage;Matin;ART-51210;Support moteur S12;480;40;41;0;0;13;0;21;1;9,0;2841;2792;19;30;2811;8;8;0;0
31/10/2025;LU-02 Usinage;Après-midi;ART-51210;Support moteur S12;480;40;23;38;9;0;22;0;1;9,0;2991;2949;16;26;2994;8;8;0;0
31/10/2025;LU-02 Usinage;Nuit;ART-51210;Support moteur S12;450;40;26;0;14;20;0;36;1;9,0;2614;2585;11;18;2648;8;8;0;0
31/10/2025;LC-03 Conditionnement;Matin;ART-62400;Kit conditionné K4;480;40;54;25;0;0;0;0;1;22,0;6790;6722;27;41;6957;6;6;0;1
03/11/2025;LA-01 Assemblage;Matin;ART-40130;Carter aluminium A30;480;40;36;0;9;17;0;25;1;12,5;4081;4036;18;27;4136;12;12;0;0
03/11/2025;LA-01 Assemblage;Après-midi;ART-40130;Carter aluminium A30;480;40;38;23;0;0;0;0;1;12,5;4240;4206;13;21;4349;12;12;0;0
03/11/2025;LU-02 Usinage;Matin;ART-51810;Support moteur S18;480;40;54;31;0;22;26;0;1;7,5;2106;2059;18;29;2186;8;7;0;0
03/11/2025;LU-02 Usinage;Après-midi;ART-51810;Support moteur S18;480;40;28;0;22;0;32;17;1;7,5;2263;2220;17;26;2379;8;8;0;0
03/11/2025;LU-02 Usinage;Nuit;ART-51810;Support moteur S18;450;40;0;0;0;22;0;21;0;7,5;2353;2315;15;23;2505;8;8;0;0
03/11/2025;LC-03 Conditionnement;Matin;ART-62600;Kit conditionné K6;480;40;37;0;0;0;21;10;1;18,0;6059;5968;36;55;6004;6;6;0;0
04/11/2025;LA-01 Assemblage;Matin;ART-40120;Carter aluminium A20;480;40;0;0;0;23;0;18;0;15,0;5117;5035;32;50;5448;12;12;0;0
04/11/2025;LA-01 Assemblage;Après-midi;ART-40120;Carter aluminium A20;480;40;43;24;0;0;17;0;1;15,0;5046;4980;26;40;5006;12;11;0;0
04/11/2025;LU-02 Usinage;Matin;ART-51210;Support moteur S12;480;40;31;39;7;0;29;10;1;9,0;2813;2787;10;16;2854;8;8;0;1
04/11/2025;LU-02 Usinage;Après-midi;ART-51210;Support moteur S12;480;40;21;0;10;0;0;0;1;9,0;3441;3420;8;13;3534;8;8;0;0
04/11/2025;LU-02 Usinage;Nuit;ART-51210;Support moteur S12;450;40;0;23;0;15;16;0;0;9,0;2899;2838;24;37;2981;8;8;0;0
04/11/2025;LC-03 Conditionnement;Matin;ART-62400;Kit conditionné K4;480;40;25;0;13;29;0;19;1;22,0;7437;7288;59;90;7733;6;6;0;0
05/11/2025;LA-01 Assemblage;Matin;ART-40130;Carter aluminium A30;480;40;0;14;0;16;23;0;0;12,5;4377;4285;36;56;4501;12;12;0;0
05/11/2025;LA-01 Assemblage;Après-midi;ART-40130;Carter aluminium A30;480;40;32;0;10;0;27;18;1;12,5;3860;3790;28;42;4018;12;12;0;0
05/11/2025;LU-02 Usinage;Matin;ART-51810;Support moteur S18;480;40;0;0;0;0;36;11;0;7,5;2638;2601;14;23;2811;8;8;0;0
05/11/2025;LU-02 Usinage;Après-midi;ART-51810;Support moteur S18;480;40;18;13;0;0;0;18;1;7,5;2536;2508;11;17;2519;8;8;0;0
05/11/2025;LU-02 Usinage;Nuit;ART-51810;Support moteur S18;450;40;25;17;6;0;31;0;1;7,5;2370;2351;7;12;2381;8;8;0;1
05/11/2025;LC-03 Conditionnement;Matin;ART-62600;Kit conditionné K6;480;40;71;16;0;34;22;0;2;18,0;4731;4697;13;21;4806;6;6;0;0
06/11/2025;LA-01 Assemblage;Matin;ART-40120;Carter aluminium A20;480;102;55;16;10;0;30;0;1;15,0;3824;3793;12;19;3843;12;12;0;1
06/11/2025;LA-01 Assemblage;Après-midi;ART-40120;Carter aluminium A20;480;40;55;0;9;28;0;23;2;15,0;4509;4486;9;14;4586;12;12;0;0
06/11/2025;LU-02 Usinage;Matin;ART-51210;Support moteur S12;480;103;0;0;15;18;0;20;0;9,0;2755;2702;21;32;2836;8;8;0;0
06/11/2025;LU-02 Usinage;Après-midi;ART-51210;Support moteur S12;480;40;31;17;0;16;11;0;1;9,0;3005;2956;19;30;3131;8;8;0;0
06/11/2025;LU-02 Usinage;Nuit;ART-51210;Support moteur S12;450;40;23;0;10;24;34;14;1;9,0;2429;2397;12;20;2562;8;7;0;0
06/11/2025;LC-03 Conditionnement;Matin;ART-62400;Kit conditionné K4;480;104;47;0;0;0;16;0;1;22,0;6438;6360;31;47;6872;6;6;0;0
07/11/2025;LA-01 Assemblage;Matin;ART-40130;Carter aluminium A30;480;85;29;0;8;24;31;18;1;12,5;3152;3111;16;25;3326;12;11;0;0
07/11/2025;LA-01 Assemblage;Après-midi;ART-40130;Carter aluminium A30;480;40;26;0;0;0;0;16;1;12,5;4253;4210;17;26;4545;12;12;0;0
07/11/2025;LU-02 Usinage;Matin;ART-51810;Support moteur S18;480;85;29;26;0;26;11;0;1;7,5;1988;1976;4;8;2000;8;8;0;0
07/11/2025;LU-02 Usinage;Après-midi;ART-51810;Support moteur S18;480;40;23;39;7;0;31;18;1;7,5;2330;2281;19;30;2346;8;8;0;0
07/11/2025;LU-02 Usinage;Nuit;ART-51810;Support moteur S18;450;40;0;0;12;29;0;0;0;7,5;2587;2540;18;29;2637;8;8;0;0
07/11/2025;LC-03 Conditionnement;Matin;ART-62600;Kit conditionné K6;480;85;0;0;7;0;25;18;0;18,0;5371;5279;36;56;5536;6;6;0;0
